厂商名,域名,厂商级别,厂商排位,严重最高奖励,高危最高奖励,中危最高奖励,低危最高奖励
BitMEX,https://www.bitmex.com/,A,1.0,无上限,无上限,3.5,0.6
Bithumb,https://www.bithumb.com/,A,0.9767,无上限,无上限,3.45,0.6
币安网,https://www.binance.com,A,0.9535,无上限,无上限,3.4,0.61
OKEX,https://www.okex.com,A,0.8837,无上限,无上限,3.25,0.62
火币全球站,https://www.huobi.co,A,0.8605,无上限,无上限,3.21,0.62
Upbit,https://upbit.com/home,A,0.8372,无上限,无上限,3.16,0.63
Bitfinex,https://www.bitfinex.com,A,0.814,无上限,无上限,3.12,0.63
Bit-Z,https://www.bit-z.pro/,A,0.6744,无上限,无上限,2.85,0.65
Bibox,https://www.bibox.com/,A,0.6512,无上限,无上限,2.81,0.66
HitBTC,https://hitbtc.com,A,0.6279,无上限,无上限,2.77,0.66
DigiFinex,https://www.digifinex.com,A,0.6047,无上限,无上限,2.73,0.66
ZB网,https://www.zb.com,A,0.5814,无上限,无上限,2.69,0.67
FCoin,https://www.fcoin.com/,A,0.5581,无上限,无上限,2.65,0.67
Liquid,https://www.liquid.com/,A,0.5349,无上限,无上限,2.62,0.68
K网,https://www.kraken.com,A,0.5116,无上限,无上限,2.58,0.68
Coinbase Pro,https://pro.coinbase.com/,A,0.4884,无上限,无上限,2.54,0.68
币赢国际站,https://www.coinw.me,A,0.4419,无上限,无上限,2.47,0.69
币网,http://www.bw.com/,A,0.9302,无上限,无上限,3.35,0.61
Bitbank,https://bitbank.cc,A,0.4186,无上限,无上限,2.43,0.7
BCEX,https://www.bcex.top,A,0.3488,无上限,无上限,2.33,0.71
IDCM,https://www.idcm.io/,A,0.2791,无上限,无上限,2.23,0.72
Bitstamp,https://www.bitstamp.net,A,0.2326,无上限,无上限,2.16,0.73
香港富比特,http://www.fubt.top/,A,0.1628,无上限,无上限,2.07,0.74
Bit.cc,https://www.bit.cc/,A,0.1395,无上限,无上限,2.04,0.75
P网,https://poloniex.com,B,0.9844,1.5,1.0,0.6,0.2
HB.top汇币网,https://hb.top,B,0.9531,1.49,1.0,0.61,0.21
Exrates,https://lk.exrates.me,B,0.9062,1.47,1.0,0.61,0.22
DragonEx,https://dragonex.im/,B,0.8906,1.47,1.0,0.62,0.22
比特儿海外版,https://gateio.io/,B,0.875,1.46,1.0,0.62,0.22
Allcoin,https://www.allcoinex.io,B,0.8438,1.45,1.0,0.62,0.23
bitFlyer,https://bitflyer.jp/,B,0.7969,1.44,1.0,0.63,0.24
CoinTiger,https://www.cointiger.pro,B,0.7812,1.43,1.0,0.63,0.24
B网,https://bittrex.com,B,0.7188,1.42,1.0,0.64,0.25
MXC,https://www.mxc.com,A,0.186,无上限,无上限,2.1,0.74
KKCoin,https://www.kkcoin.com,B,0.6562,1.4,1.0,0.66,0.26
币虎全球BihuEX,https://bihuex.com/,B,0.625,1.39,1.0,0.66,0.27
ZG.TOP,https://www.zg.top/,B,0.6094,1.39,1.0,0.66,0.27
双子星,https://gemini.com/,B,0.5938,1.38,1.0,0.67,0.28
满币网,https://www.coinbene.com/,B,0.5625,1.37,1.0,0.67,0.28
itBit,https://www.itbit.com,B,0.5469,1.37,1.0,0.67,0.29
Coinone,https://coinone.co.kr/,B,0.5156,1.36,1.0,0.68,0.3
YOEXS,https://yoe.im,B,0.4688,1.35,1.0,0.69,0.31
Q网,https://www.myqbtc.com,B,0.375,1.32,1.0,0.7,0.33
胖比特,https://www.fatbtc.com,B,0.3125,1.3,1.0,0.72,0.35
Coincheck,https://coincheck.com/,B,0.3281,1.31,1.0,0.71,0.34
Exmo,https://exmo.com/,B,0.2656,1.29,1.0,0.72,0.36
AT交易所,https://www.at3.com/,B,0.2344,1.28,1.0,0.73,0.37
BTCBOX,https://www.btcbox.co.jp/,B,0.1562,1.26,1.0,0.74,0.39
HPX,https://www.hpx.com/,B,0.0625,1.24,1.0,0.76,0.43
YoBit,https://yobit.net,B,0.0312,1.23,1.0,0.77,0.44
BitBay,https://bitbay.net,B,0.0156,1.23,1.0,0.77,0.44
KuCoin,https://www.kucoin.com,C,0.9892,1.2,0.8,0.3,0.1
Zaif,https://zaif.jp,C,0.9462,1.19,0.8,0.31,0.11
Livecoin,https://www.livecoin.net/,C,0.8925,1.19,0.81,0.32,0.11
FEX,https://fexpro.io/,C,0.828,1.18,0.82,0.33,0.12
柯宾汉,https://www.cobinhood.com/,C,0.7742,1.18,0.82,0.34,0.13
炒客网,https://www.chaoex.io,C,0.7419,1.17,0.82,0.35,0.13
OkCoin韩国站,https://www.okcoinkr.com/,C,0.7204,1.17,0.83,0.35,0.14
酷币,https://www.coolcoin.com,C,0.7097,1.17,0.83,0.36,0.14
李逵,https://liqui.io/,C,0.6452,1.16,0.83,0.37,0.15
Luno,https://www.luno.com,C,0.6344,1.16,0.83,0.37,0.15
BX Thailand,https://bx.in.th,C,0.6237,1.16,0.83,0.38,0.15
BTC Markets,https://btcmarkets.net/,C,0.6129,1.16,0.84,0.38,0.16
Tidex,https://tidex.com/,C,0.5591,1.15,0.84,0.39,0.17
DeBi,https://www.debi.com/,C,0.5376,1.15,0.84,0.4,0.17
YEX,http://yex.com/,C,0.5161,1.15,0.84,0.4,0.17
DSX,https://dsx.uk,C,0.4731,1.14,0.85,0.41,0.18
Rfinex,https://www.rfinex.com/,C,0.4409,1.14,0.85,0.42,0.19
C网,https://www.cryptopia.co.nz,C,0.3871,1.13,0.86,0.43,0.2
Bitso,https://bitso.com,C,0.3763,1.13,0.86,0.44,0.21
xBTCe,https://www.xbtce.com/,C,0.3656,1.13,0.86,0.44,0.21
OkCoin国际,https://www.okcoin.com,C,0.3441,1.13,0.86,0.45,0.21
ACX,https://acx.io/,C,0.3226,1.13,0.86,0.45,0.22
STEX,https://www.stex.com,C,0.2903,1.12,0.87,0.46,0.23
CEO交易所,https://ceo.bi,C,0.3011,1.13,0.86,0.46,0.22
GDEX,https://www.gdex.io/,C,0.3118,1.13,0.86,0.45,0.22
CREX24,https://crex24.com/zh/,C,0.2366,1.12,0.87,0.48,0.24
IDEX,https://idex.market,C,0.1935,1.11,0.88,0.49,0.25
VNBIG,http://www.vnbig.com/,C,0.1398,1.11,0.88,0.5,0.27
BigOne,https://big.one,C,0.8065,1.18,0.82,0.34,0.12
COINNEST,http://www.coinnest.co.kr,C,0.1183,1.11,0.88,0.51,0.28
Kuna,https://kuna.io,C,0.1075,1.11,0.88,0.51,0.28
OTCBTC,https://otcbtc.com,C,0.0753,1.1,0.89,0.52,0.29
BoxEx,https://ex.btcbox.com/,C,0.0538,1.1,0.89,0.53,0.3
Fisco,https://fcce.jp,E,1.0,900,400,200.0,50.0
Bleutrade,https://bleutrade.com,E,1.0,900,400,200.0,50.0
KKEX,https://kkex.com,E,1.0,900,400,200.0,50.0
hellobts,https://www.hellobts.com/,C,0.2688,1.12,0.87,0.47,0.23
58COIN,http://www.58coin.com/,A,0.907,无上限,无上限,3.3,0.61
IOAEX,http://www.ioaex.com,A,0.7674,无上限,无上限,3.03,0.64
趣币网,https://www.qubi.com,A,0.7442,无上限,无上限,2.98,0.64
VVBTC,http://www.vvbtc.com,A,0.7209,无上限,无上限,2.94,0.64
IDAX,https://www.idax.mn,A,0.4651,无上限,无上限,2.5,0.69
XTRA,https://www.xtraex.com/,A,0.3953,无上限,无上限,2.4,0.7
Coinsuper,https://www.coinsuper.com/,A,0.3721,无上限,无上限,2.36,0.7
币夫,https://www.bitforex.com/,A,0.6977,无上限,无上限,2.9,0.65
币客,https://www.bitker.com/,A,0.3256,无上限,无上限,2.29,0.71
星客,https://www.silktrader.net/,A,0.3023,无上限,无上限,2.26,0.72
BQEX,https://www.bqex.pro/,A,0.2558,无上限,无上限,2.2,0.73
LBank,https://www.lbkex.com/,A,0.2093,无上限,无上限,2.13,0.73
BitMart,https://www.bitmart.com/,A,0.1163,无上限,无上限,2.01,0.75
币万,http://www.bione.cc/,A,0.093,无上限,无上限,1.98,0.76
OEX创新站,https://www.oexvip.com/,A,0.0698,无上限,无上限,1.95,0.76
币涨,https://www.btrise.com/,A,0.0233,无上限,无上限,1.9,0.77
紫牛币交所,http://www.purcow.io/,A,0.0465,无上限,无上限,1.93,0.77
澳洲U网,https://www.ucoin.pw,B,1.0,1.5,1.0,0.6,0.2
PK.TOP,http://www.pk.top/,B,0.9688,1.49,1.0,0.6,0.21
Simex,https://simex.global/ru,B,0.9375,1.48,1.0,0.61,0.21
Ethfinex,https://www.ethfinex.com/,B,0.9219,1.48,1.0,0.61,0.21
币蛋,https://www.coinegg.com/,B,0.8594,1.46,1.0,0.62,0.22
币昇,https://www.bisheng.top,B,0.8125,1.44,1.0,0.63,0.23
BKEX,https://www.bkex.com/,B,0.8281,1.45,1.0,0.63,0.23
